post_id,username,posted_at_utc,post_type,likes,comments,shares,saves,location,hashtags
IG_9500693818,foodie_anjali3,2024-09-18 13:01:26,Image,640,38,62,147,"Bali, Indonesia",#travel #photooftheday #instagood
IG_3335827017,foodie_anjali94,2024-09-18 16:57:07,Image,40,4,1,4,"Jaipur, Rajasthan",#foodie #photography #photooftheday #music #love
IG_3814846751,kavita_art22,2024-09-18 21:40:16,Image,90,5,6,2,"Goa, India",#lifestyle #photooftheday #nature #foodie #viral
IG_5010310829,suresh_fitness25,2024-09-19 01:44:12,Reel,66,11,3,15,"Mumbai, Maharashtra",#music #instagood #fashion #viral
IG_5191636893,rahul_rocks97,2024-09-19 14:15:01,Image,14,1,0,2,"Pune, Maharashtra",#music #instagood
IG_3444524633,sneha_style16,2024-09-19 15:48:30,Reel,41,1,2,4,"Ahmedabad, Gujarat",#music #photooftheday #nature #trending #fashion
IG_3542685804,sneha_style32,2024-09-19 20:50:25,Video,214,24,16,19,"Ahmedabad, Gujarat",#travel #love #art #nature #trending
IG_2037042083,foodie_anjali78,2024-09-20 10:49:54,Reel,155,4,4,33,,#nature #instagood #foodie #viral #trending #travel
IG_9675556102,the_wanderer86,2024-09-20 11:44:08,Carousel,584,55,27,93,"Dubai, UAE",#lifestyle #fashion #art #nature
IG_6540495628,kavita_art11,2024-09-20 12:01:44,Video,400,8,31,14,"Jaipur, Rajasthan",#fashion #love #foodie #photography #photooftheday
IG_1200955967,rahul_rocks73,2024-09-20 14:07:25,Reel,102,1,9,12,"Goa, India",#travel #love #music #nature #photooftheday #viral
IG_4277731353,suresh_fitness92,2024-09-20 18:59:29,Image,82,6,6,19,"Jaipur, Rajasthan",#foodie #instagood #music #photography #viral
IG_5878713585,foodie_anjali17,2024-09-21 00:39:22,Carousel,738,70,52,109,"Jaipur, Rajasthan",#lifestyle #foodie #music #art #trending #photooftheday
